alpha CL CD CDp CM Top_Xtr Bot_Xtr
-3.000000 -0.320000 0.006400 0.000920 -0.004800 0.929000 0.364900
-2.000000 -0.214400 0.005810 0.000700 -0.003000 0.867700 0.474900
-1.000000 -0.107400 0.005500 0.000560 -0.001400 0.784900 0.582700
0.000000 0.000000 0.005410 0.000510 -0.000000 0.687700 0.687600
1.000000 0.107500 0.005500 0.000560 0.001400 0.582700 0.785000
3.000000 0.320000 0.006400 0.000920 0.004800 0.365000 0.929000
4.000000 0.428300 0.007300 0.001240 0.005900 0.253800 0.968000
5.000000 0.556000 0.008480 0.001710 0.002200 0.149700 0.986000
6.000000 0.694000 0.009750 0.002300 -0.004100 0.081600 0.994400
7.000000 0.826300 0.010970 0.002960 -0.009200 0.050800 1.000000
8.000000 0.909300 0.012160 0.003640 -0.003900 0.038100 1.000000
9.000000 0.994400 0.013430 0.004410 0.001000 0.030900 1.000000
10.000000 1.078800 0.015170 0.005510 0.005600 0.025700 1.000000
11.000000 1.165000 0.017060 0.006760 0.009300 0.022200 1.000000
12.000000 1.242800 0.019540 0.008400 0.013600 0.019500 1.000000
13.000000 1.316100 0.021910 0.010010 0.018200 0.017600 1.000000
14.000000 1.353100 0.025860 0.012660 0.026400 0.016300 1.000000
15.000000 1.383300 0.031420 0.016620 0.030900 0.015300 1.000000
16.000000 1.372100 0.043530 0.025930 0.029600 0.014500 1.000000
17.000000 1.352200 0.060030 0.039600 0.022100 0.014000 1.000000
18.000000 1.285900 0.085100 0.061780 0.009500 0.013800 1.000000
19.000000 1.206800 0.114240 0.090290 -0.005500 0.013600 1.000000
20.000000 1.142100 0.142990 0.123590 -0.021700 0.013300 1.000000
